zone,week,year,Cumulated inflow into reservoirs per week in GWh,Cumulated NATURAL inflow into the pump-storage reservoirs per week in GWh
AL00,22,1983,156.7119163,0
AL00,22,1984,182.5706956,0
AL00,22,1985,160.8151818,0
AL00,22,1986,184.8264658,0
AL00,22,1987,112.3412548,0
AL00,22,1988,149.0942039,0
AL00,22,1989,91.01760971,0
AL00,22,1990,79.48743363,0
AL00,22,1991,90.14361416,0
AL00,22,1992,99.03846797,0
AL00,22,1993,104.3480935,0
AL00,22,1994,157.0001707,0
AL00,22,1995,129.3605743,0
AL00,22,1996,171.7842364,0
AL00,22,1997,134.1901178,0
AL00,22,1998,91.32945789,0
AL00,22,1999,134.7984269,0
AL00,22,2000,106.2212342,0
AL00,22,2001,109.8208239,0
AL00,22,2002,89.38451004,0
AL00,22,2003,110.7235423,0
AL00,22,2004,176.5204306,0
AL00,22,2005,159.1082234,0
AL00,22,2006,166.7659427,0
AL00,22,2007,85.87006313,0
AL00,22,2008,126.4257136,0
AL00,22,2009,105.9442638,0
AL00,22,2010,169.3694646,0
AL00,22,2011,68.02496143,0
AL00,22,2012,110.2188407,0
AL00,22,2013,197.238844,0
AL00,22,2014,94.57924418,0
AL00,22,2015,118.0109419,0
AL00,22,2016,166.0406905,0
AL00,22,2017,101.993845,0
AL00,23,1982,126.713968,0
AL00,23,1983,125.2265343,0
AL00,23,1984,110.0824071,0
AL00,23,1985,150.0430841,0
AL00,23,1986,167.3127028,0
AL00,23,1987,113.0593262,0
AL00,23,1988,163.6823386,0
AL00,23,1989,65.15164976,0
AL00,23,1990,78.43186858,0
AL00,23,1991,100.3966489,0
AL00,23,1992,99.49495626,0
AL00,23,1993,80.85792431,0
AL00,23,1994,109.9028892,0
AL00,23,1995,156.0174386,0
AL00,23,1996,164.5409469,0
AL00,23,1997,108.9027183,0
AL00,23,1998,131.3968198,0
