zone,week,year,Cumulated inflow into reservoirs per week in GWh,Cumulated NATURAL inflow into the pump-storage reservoirs per week in GWh
AL00,16,2006,262.189433705434,0
AL00,16,2007,54.58163780649058,0
AL00,16,2008,101.462472068151,0
AL00,16,2009,109.606428288,0
AL00,16,2010,208.3032994027925,0
AL00,16,2011,77.26756699177359,0
AL00,16,2012,76.51461777079247,0
AL00,16,2013,151.8700630351698,0
AL00,16,2014,92.5399212178868,0
AL00,16,2015,143.3188577135095,0
AL00,16,2016,83.23268922611322,0
AL00,16,2017,89.63480923720756,0
AL00,17,1982,105.7657717711698,0
AL00,17,1983,93.57496994264153,0
AL00,17,1984,205.1837917992453,0
AL00,17,1985,162.1282268087547,0
AL00,17,1986,163.8536499554717,0
AL00,17,1987,176.642502732,0
AL00,17,1988,100.758762033283,0
AL00,17,1989,44.92870569554718,0
AL00,17,1990,167.1024104225661,0
AL00,17,1991,133.7900493842264,0
AL00,17,1992,104.1111299544906,0
AL00,17,1993,107.9712769824906,0
AL00,17,1994,125.1598562015095,0
AL00,17,1995,107.1188235729057,0
AL00,17,1996,217.4546073052076,0
AL00,17,1997,100.5977088620377,0
AL00,17,1998,157.9972642571321,0
AL00,17,1999,144.9447766716227,0
AL00,17,2000,92.2434602848302,0
AL00,17,2001,74.34193868354718,0
AL00,17,2002,74.45170103592454,0
AL00,17,2003,197.6122411179623,0
AL00,17,2004,143.1526754603774,0
AL00,17,2005,209.5732600779623,0
AL00,17,2006,190.586424749434,0
AL00,17,2007,74.13472377532078,0
AL00,17,2008,99.40571023154719,0
AL00,17,2009,127.2196954872453,0
AL00,17,2010,218.1521624418114,0
AL00,17,2011,74.24551194407547,0
AL00,17,2012,134.1224138904906,0
AL00,17,2013,197.0100869044529,0
AL00,17,2014,104.1798596517736,0
AL00,17,2015,179.5845441022642,0
AL00,17,2016,86.72456817464152,0
AL00,17,2017,92.88049225516983,0
AL00,18,1982,142.5361598175849,0
AL00,18,1983,123.4898271391698,0
AL00,18,1984,183.4457169466415,0
AL00,18,1985,142.2284149043774,0
AL00,18,1986,179.6224993082265,0
AL00,18,1987,123.8550177695095,0
AL00,18,1988,141.1574626064151,0
AL00,18,1989,56.17883390603775,0
AL00,18,1990,105.0466744906415,0
AL00,18,1991,142.9321249392453,0
AL00,18,1992,121.1448109005283,0
AL00,18,1993,104.3686098652076,0
AL00,18,1994,155.0275258446793,0
AL00,18,1995,171.9770898477736,0
